 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"WEST COAST MOBILE DIESEL REPAIR LTD",7787983510,1484.16,1484.16,0,0,0
"MH TRUCK & TRAILER REPAIR LTS",7787012370,1413.46,439.18,974.28,0,0
"BLUE COLLAR DIESEL PERFORMANCE L",7788855801,1352.88,589.9,762.98,0,0
"ALS RELIABLE TRUCK & TRAILER REPAIR",7789293265,1273.25,34.23,1239.02,0,0
"METRO TRUCK & TRAILER REPAIR",7788987952,1221.44,1221.44,0,0,0
"CHATHA BROTHERS MOBILE TRUCK & TRAILER REPAIR LTD",7783164867,1162.62,1162.62,0,0,0
"KAL INSPECTION & TRUCK REPAIR LT",7788914211,1026.68,1026.68,0,0,0
"NEWTECH TRUCK REPAIR LTD",6043779734,841.77,841.77,0,0,0
"BLACKSTAR TRUCK & TRAILER REPAIR",7785655086,747.76,747.76,0,0,0
"BMS TRANSPORT LTD",7782424046,596.49,0,596.49,0,0
"PLANET PRIDE LOGISTIC LTD / AKR",6043399985,499.58,499.58,0,0,0
"PARKWAY DIESEL TRUCK REPAIR LTD.",6047260961,491.35,491.35,0,0,0
"ROADWAY TOWING LTD",6045913992,491.29,491.29,0,0,0
"1452106 BC LTD",7786687713,457.02,342.83,114.18,0,0
"14167031 CANADA INC",6047601428,432.5,432.5,0,0,0
"GK TRUCK REPAIR LTD",6045079696,381.21,381.21,0,0,0
"GRP SERVICES",6048618014,270.28,270.28,0,0,0
"JP SIDHU TRUCKING SERVICE LTD",6045063237,163.95,163.95,0,0,0
"G AND J TRUCK AND TRAILER REPAIR LTD",6047238013,116.34,116.34,0,0,0
"24/7 MOBILE DIESEL LTD.",6048079695,90.13,90.13,0,0,0
"JAGPAL TRUCKING LTD",6043690076,55.56,0,55.56,0,0
"Epic Truck Repair Ltd",6047917232,-0,-0,0,0,0
"BEST IMAGE TRANSPORT LTD",6047862185,-0,0,0,0,-0
"LOADLYNX LOGISTICS LTD",7789034850,-4.49,0,0,-4.49,0
"GAK CONTRACTING LTD",6045372095,-14.03,0,0,8.79,-22.83
"GULRAJ TRUCKING LTD.",6046168883,-18.04,0,0,0,-18.04
"APAART TRANSPORT LTD",6048490420,-51.37,0,0,-51.37,0
"HARJINDER BILAG",7782462369,-84.01,0,0,0,-84.01
"1110064 BC LTD",7789858781,-89.3,8.36,-97.66,0,0
"KARANVIR SINGH",7788099083,-151.2,-151.2,0,0,0
"TS KOONER TRK LTD",6048741675,-153.72,0,0,0,-153.72
"PILOT FREIGHT SYSTEMS",4373338958,-163.8,0,0,0,-163.8
"HIGHWAY RANGER TRUCKING LTD",7783441255,-185.3,0,173.59,223.86,-582.75
"S.T.I TRANSPORT INC",6047633313,-188.9,0,0,0,-188.9
"SAMMY'S TRUCK &TRAILER SEVICES",6045401463,-212.8,0,0,0,-212.8
"CLEAR ADVANTAGE TRANSPORTATION LTD",7789856507,-220.71,0,0,0,-220.71
"EAGLE EYE TRUCK & TRAILER REPAIR LTD",6043541545,-264.29,0,0,0,-264.29
"DIESEL MATIC TRUCK & TRAILER REPAIR LTD",5878374653,-4940.59,0,0,0,-4940.59
"**** TOTAL AMOUNTS ****",,689413.04,235222.49,138776.56,8115.25,307298.74
