 "Client Name","Phone Number",Total,Current,31-60,61-90,91+
"TWIN MAPLE VENTURES LTD",7808055228,726.68,726.68,0,0,0
E-QUEST,2046513121,657.42,657.42,0,0,0
"BMP TRUCKING LTD",7803490203,614.63,500.34,84.89,29.4,0
"NORTHWEST HAULING",7805160117,603.54,603.54,0,0,0
"VR ENTERPRISES",7802800405,597.04,0,0,0,597.04
"BEN ARBEAU TRUCKING",7808436684,565.43,218.93,346.5,0,0
"MKB TRUCKING LTD",7808052110,537.91,537.91,0,0,0
"CB S TRUCKING",7808490060,389.2,389.2,0,0,0
"BROAD BROTHERS CONT LTD",7808493713,388.5,388.5,0,0,0
"TIGER CALCIUM LTD",7809555004,368.83,0,135,34.7,199.13
"D.JANZEN HOLDINGS",7808494315,351.75,351.75,0,0,0
"1574234 AB LTD",7802677990,337.86,337.86,0,0,0
"KEYALL ENTERPRISES",7808436034,322.02,0,322.02,0,0
LOKASH,7808052222,291.41,291.41,0,0,0
"JULIES PETERS",7808279410,290.14,290.14,0,0,0
"NWH 2.0",7809266136,288.87,288.87,0,0,0
"LAKESIDE VAC SERVICES",7802844338,231,231,0,0,0
"1684309 AB LTD",7808056405,187.23,187.23,0,0,0
"ELKE BROS TANKLINE",3066966797,165.15,165.15,0,0,0
"HEAVY K MECHANICAL",7805160134,124.31,124.31,0,0,0
"LEAKY G CONTRACTING",7808436082,97.06,97.06,0,0,0
"B.PEIFFER TRUCKING LTD",7805162907,96.6,96.6,0,0,0
"OUTLAW MECHANICAL",7808052512,92.19,92.19,0,0,0
"WILLOW WAY TRANSPORT LTD",7802854808,78.9,78.9,0,0,0
"ARRALE ENERGY INC",7802009227,75.72,75.72,0,0,0
"LAWRENCE LABBY TRUCKING INC",7808051680,73.5,73.5,0,0,0
"CROWN STAR TRANSPORT LTD",4037149117,52.67,0,0,0,52.67
"LEE TRANSPORT CAMROSE",7807816637,52.28,52.28,0,0,0
"AVID ENERGY SERVICES INC",7808495447,34.16,34.16,0,0,0
"BOSS PRESSURE",7808498868,31.34,31.34,0,0,0
"RED BARON FIREWOOD",7808491168,-10.34,0,0,0,-10.34
"CASH SALE - SLAVE LAKE",,-76.65,-76.65,0,0,0
"BLUESIDE TRUCKING LTD",7808056738,-127.09,0,0,0,-127.09
"PHIL'S BLASTING",7809265817,-130.59,-130.59,0,0,0
RIBALKIN,13068919591,-651,0,-651,0,0
"**** TOTAL AMOUNTS ****",,373752.94,265009.3,88163.93,12722.73,7856.97
