"Client Name","Phone Number",Total,Current,31-60,61-90,91+
"APPYPRO INVESTMENT INC.","(306) 216-8880",-51.43,0,0,0,-51.43
"2330338 AB LTD.","(780) 995-4992",-51.51,0,0,0,-51.51
"GURNOOR TRUCKING LTD","(780) 952-6320",-56.09,-56.09,0,0,0
"HV TRUCKING LTD","(780) 265-2731",-64.07,0,0,0,-64.07
"ALTA LOGISTIC INC","(780) 945-9559",-66.1,0,0,0,-66.1
"AIMED EXPRESS","(780) 265-6541",-73.49,-73.49,0,0,0
"PTI ENTERPRISES LTD","(780) 239-5660",-80.33,0,0,0,-80.33
"SHERWOOD TRUCK WASH AND LUBE",,-92.41,0,0,0,-92.41
"888 CONSTRUCTION LTD","(780) 531-2213",-103.48,0,0,-103.48,0
"PRODASH TRANSPORT LTD","(780) 581-0724",-120.75,0,0,-120.75,0
"JOBAN TRUCKING LTD","(780) 257-6513",-120.82,-120.82,0,0,0
"CITY SOIL SERVICES","(780) 289-2287",-171.13,378,0,0,-549.13
"2459474 AB LTD","(780) 278-0050",-173.25,0,0,0,-173.25
"FH TRUCKING LTD","(306) 240-9019",-185.85,0,0,0,-185.85
"OTAL TRUCKING INC","(780) 660-6825",-206.33,34.13,0,0,-240.45
"SURAJ TRANSPORT LTD","(780) 863-3555",-239.55,0,54.56,0,-294.11
"2228680 AB LTD","(306) 880-1567",-242.31,0,0,0,-242.31
"S RAI TRUCKING",78023986858,-260.18,0,0,0,-260.18
"RANU TRANSPORT LTD","(306) 640-2600",-270.21,0,0,0,-270.21
"SHY TRANSPORT LTD","(780) 292-2602",-453.44,0,0,0,-453.44
"KELEF TRUCKING INC","(778) 855-3637",-498.75,0,0,0,-498.75
"NAUNIHAL TRUCKING LTD","(780) 235-0920",-522.99,0,-522.99,0,0
"DHANOA BROS TRANSPORT INC","(306) 654-3000",-573.3,-573.3,0,0,0
"GSP TRANSPORT LTD","(587) 712-7000",-583.97,0,0,-583.97,0
"NILE CARRIER LTD","(780) 708-5045",-677.25,0,-677.25,0,0
"JIRRU TRANSPORT LTD","(780) 340-2091",-766.5,0,-766.5,0,0
"ADAN ENETRPRISE LTD","(614) 787-0710",-907.2,0,0,0,-907.2
"SURSINGHIA TRANSPORT LTD","(306) 914-7331",-998.9,0,0,551.17,-1550.06
"COTTONWOOD CREEK","(780) 695-6964",-4807.87,0,0,-4807.87,0
"**** TOTAL AMOUNTS ****",,182231.9,123677.89,15159.01,2114.86,41280.15
